url,count
https://www.cnn.com/sitemaps/article-2013-01.xml,1881
https://www.cnn.com/sitemaps/article-2013-09.xml,1625
https://www.cnn.com/sitemaps/article-2013-02.xml,1698
https://www.cnn.com/sitemaps/article-2013-08.xml,1699
https://www.cnn.com/sitemaps/article-2013-07.xml,1674
https://www.cnn.com/sitemaps/article-2013-06.xml,1761
https://www.cnn.com/sitemaps/article-2013-03.xml,1989
https://www.cnn.com/sitemaps/article-2013-05.xml,1960
https://www.cnn.com/sitemaps/article-2013-04.xml,1860
https://www.cnn.com/sitemaps/article-2013-10.xml,1680
https://www.cnn.com/sitemaps/article-2013-11.xml,1592
https://www.cnn.com/sitemaps/article-2013-12.xml,1527
https://www.cnn.com/sitemaps/article-2014-01.xml,1611
https://www.cnn.com/sitemaps/article-2014-04.xml,1399
https://www.cnn.com/sitemaps/article-2014-02.xml,1591
https://www.cnn.com/sitemaps/article-2014-03.xml,1400
https://www.cnn.com/sitemaps/article-2014-05.xml,1577
https://www.cnn.com/sitemaps/article-2014-06.xml,1410
https://www.cnn.com/sitemaps/article-2014-07.xml,1437
https://www.cnn.com/sitemaps/article-2014-08.xml,1298
https://www.cnn.com/sitemaps/article-2014-09.xml,1656
https://www.cnn.com/sitemaps/article-2014-10.xml,1849
https://www.cnn.com/sitemaps/article-2014-11.xml,1496
https://www.cnn.com/sitemaps/article-2014-12.xml,1497
https://www.cnn.com/sitemaps/article-2015-01.xml,2026
https://www.cnn.com/sitemaps/article-2015-02.xml,1731
https://www.cnn.com/sitemaps/article-2015-04.xml,1916
https://www.cnn.com/sitemaps/article-2015-05.xml,1792
https://www.cnn.com/sitemaps/article-2015-03.xml,1807
https://www.cnn.com/sitemaps/article-2015-06.xml,1866
https://www.cnn.com/sitemaps/article-2015-07.xml,1956
https://www.cnn.com/sitemaps/article-2015-11.xml,1801
https://www.cnn.com/sitemaps/article-2015-08.xml,2046
https://www.cnn.com/sitemaps/article-2015-09.xml,2050
https://www.cnn.com/sitemaps/article-2016-01.xml,2237
https://www.cnn.com/sitemaps/article-2015-12.xml,1884
https://www.cnn.com/sitemaps/article-2015-10.xml,2067
https://www.cnn.com/sitemaps/article-2016-02.xml,2201
https://www.cnn.com/sitemaps/article-2016-03.xml,2128
https://www.cnn.com/sitemaps/article-2016-05.xml,1948
https://www.cnn.com/sitemaps/article-2016-04.xml,1836
https://www.cnn.com/sitemaps/article-2016-06.xml,1915
https://www.cnn.com/sitemaps/article-2016-07.xml,1912
https://www.cnn.com/sitemaps/article-2016-08.xml,1867
https://www.cnn.com/sitemaps/article-2017-01.xml,2243
https://www.cnn.com/sitemaps/article-2017-02.xml,2056
https://www.cnn.com/sitemaps/article-2016-12.xml,1881
https://www.cnn.com/sitemaps/article-2016-09.xml,2245
https://www.cnn.com/sitemaps/article-2016-10.xml,2362
https://www.cnn.com/sitemaps/article-2016-11.xml,2242
https://www.cnn.com/sitemaps/article-2017-03.xml,2430
https://www.cnn.com/sitemaps/article-2017-04.xml,2233
https://www.cnn.com/sitemaps/article-2017-05.xml,2463
https://www.cnn.com/sitemaps/article-2017-06.xml,2508
https://www.cnn.com/sitemaps/article-2017-09.xml,2287
https://www.cnn.com/sitemaps/article-2017-10.xml,2233
https://www.cnn.com/sitemaps/article-2017-08.xml,2439
https://www.cnn.com/sitemaps/article-2017-07.xml,2369
https://www.cnn.com/sitemaps/article-2017-11.xml,2155
https://www.cnn.com/sitemaps/article-2017-12.xml,2033
https://www.cnn.com/sitemaps/article-2018-01.xml,2600
https://www.cnn.com/sitemaps/article-2018-02.xml,2454
https://www.cnn.com/sitemaps/article-2018-04.xml,2569
https://www.cnn.com/sitemaps/article-2018-03.xml,2829
https://www.cnn.com/sitemaps/article-2018-05.xml,2645
https://www.cnn.com/sitemaps/article-2018-07.xml,2480
https://www.cnn.com/sitemaps/article-2018-06.xml,2695
https://www.cnn.com/sitemaps/article-2018-08.xml,2378
https://www.cnn.com/sitemaps/article-2018-09.xml,2417
https://www.cnn.com/sitemaps/article-2018-12.xml,2593
https://www.cnn.com/sitemaps/article-2018-10.xml,3135
https://www.cnn.com/sitemaps/article-2019-02.xml,2959
https://www.cnn.com/sitemaps/article-2018-11.xml,3102
https://www.cnn.com/sitemaps/article-2019-01.xml,3236
https://www.cnn.com/sitemaps/article-2019-03.xml,3236
https://www.cnn.com/sitemaps/article-2019-05.xml,3656
https://www.cnn.com/sitemaps/article-2019-04.xml,3651
https://www.cnn.com/sitemaps/article-2019-06.xml,3782
https://www.cnn.com/sitemaps/article-2019-11.xml,2371
https://www.cnn.com/sitemaps/article-2019-12.xml,3238
https://www.cnn.com/sitemaps/article-2019-09.xml,3705
https://www.cnn.com/sitemaps/article-2020-01.xml,3886
https://www.cnn.com/sitemaps/article-2019-08.xml,3518
https://www.cnn.com/sitemaps/article-2019-07.xml,3946
https://www.cnn.com/sitemaps/article-2019-10.xml,4118
https://www.cnn.com/sitemaps/article-2020-02.xml,3637
https://www.cnn.com/sitemaps/article-2020-03.xml,3853
https://www.cnn.com/sitemaps/article-2020-04.xml,3792
https://www.cnn.com/sitemaps/article-2020-06.xml,3902
https://www.cnn.com/sitemaps/article-2020-05.xml,3717
https://www.cnn.com/sitemaps/article-2020-08.xml,3600
https://www.cnn.com/sitemaps/article-2020-09.xml,3572
https://www.cnn.com/sitemaps/article-2020-07.xml,3920
https://www.cnn.com/sitemaps/article-2020-10.xml,3674
https://www.cnn.com/sitemaps/article-2020-11.xml,3061
https://www.cnn.com/sitemaps/article-2020-12.xml,2997
https://www.cnn.com/sitemaps/article-2021-01.xml,3373
https://www.cnn.com/sitemaps/article-2021-02.xml,3202
https://www.cnn.com/sitemaps/article-2021-06.xml,3170
https://www.cnn.com/sitemaps/article-2021-05.xml,3180
https://www.cnn.com/sitemaps/article-2021-04.xml,3254
https://www.cnn.com/sitemaps/article-2021-07.xml,3024
https://www.cnn.com/sitemaps/article-2021-03.xml,3460
https://www.cnn.com/sitemaps/article-2021-08.xml,2876
https://www.cnn.com/sitemaps/article-2022-03.xml,2627
https://www.cnn.com/sitemaps/article-2022-02.xml,2348
https://www.cnn.com/sitemaps/article-2021-11.xml,2809
https://www.cnn.com/sitemaps/article-2022-01.xml,2725
https://www.cnn.com/sitemaps/article-2021-09.xml,2866
https://www.cnn.com/sitemaps/article-2021-10.xml,3095
https://www.cnn.com/sitemaps/article-2021-12.xml,2544
https://www.cnn.com/sitemaps/article-2022-05.xml,2455
https://www.cnn.com/sitemaps/article-2022-04.xml,2397
https://www.cnn.com/sitemaps/article-2022-11.xml,2515
https://www.cnn.com/sitemaps/article-2022-07.xml,2419
https://www.cnn.com/sitemaps/article-2022-06.xml,2536
https://www.cnn.com/sitemaps/article-2022-08.xml,2479
https://www.cnn.com/sitemaps/article-2022-09.xml,2500
https://www.cnn.com/sitemaps/article-2022-12.xml,2260
https://www.cnn.com/sitemaps/article-2023-02.xml,2256
https://www.cnn.com/sitemaps/article-2023-06.xml,2084
https://www.cnn.com/sitemaps/article-2023-01.xml,2431
https://www.cnn.com/sitemaps/article-2023-03.xml,2645
https://www.cnn.com/sitemaps/article-2023-05.xml,2426
https://www.cnn.com/sitemaps/article-2023-07.xml,1997
